TestName,MethodName,p,n,RhoTheory,Converged,Iterations,FinalResidual,FinalRelativeResidual,SolutionError,RelativeSolutionError,ElapsedTime,StopReason,Comment
Maly latwy przypadek,Classical Gauss-Seidel,3,6,0.0410913584959273,1,8,2.34300357062212e-11,1.08470451670427e-11,2.34301155900193e-11,1.08470821496225e-11,0.006586,Spelniono warunek na residual wzgledny,"Maly wymiar, male s/c, szybka zbieznosc klasycznego GS."
Maly latwy przypadek,Block Gauss-Seidel 2x2,3,6,0.0410913584959273,1,1,3.5108334685767e-16,1.6253568575444e-16,3.5108334685767e-16,1.6253568575444e-16,0.001049,Rozwiazano przez dokladne bloki 2x2,"Maly wymiar, male s/c, szybka zbieznosc klasycznego GS."
Sredni losowy zbie zny,Classical Gauss-Seidel,50,100,0.430188715558562,1,27,4.93797112980411e-10,4.50699914191512e-11,4.93796977628549e-10,4.50699790652773e-11,0.000173,Spelniono warunek na residual wzgledny,"Sredni wymiar, losowe theta ponizej pi/4, klasyczny GS powinien zbiegac."
Sredni losowy zbie zny,Block Gauss-Seidel 2x2,50,100,0.430188715558562,1,1,1.36186289194063e-15,1.24300339634144e-16,1.35839039010175e-15,1.23983396452486e-16,2e-05,Rozwiazano przez dokladne bloki 2x2,"Sredni wymiar, losowe theta ponizej pi/4, klasyczny GS powinien zbiegac."
Duzy test wydajnosciowy,Classical Gauss-Seidel,1000,2000,0.297769261932167,1,18,2.4820216445329e-09,5.58201596330086e-11,2.48202160062527e-09,5.58201586455351e-11,0.000231,Spelniono warunek na residual wzgledny,"Duzy wymiar, test czasu i skalowania metod."
Duzy test wydajnosciowy,Block Gauss-Seidel 2x2,1000,2000,0.297769261932167,1,1,4.61594010162196e-15,1.03811549708477e-16,4.95639641515652e-15,1.11468342634287e-16,2.2e-05,Rozwiazano przez dokladne bloki 2x2,"Duzy wymiar, test czasu i skalowania metod."
Przypadek blisko granicy zbieznosci,Classical Gauss-Seidel,50,100,0.978638388343462,1,894,9.81980921045551e-10,9.81868514758013e-11,9.81980914497881e-10,9.81868508211093e-11,0.001747,Spelniono warunek na residual wzgledny,"Theta blisko pi/4 od dolu, klasyczny GS powinien zbiegac wolno."
Przypadek blisko granicy zbieznosci,Block Gauss-Seidel 2x2,50,100,0.978638388343462,1,1,7.96402460402607e-16,7.96311297079531e-17,9.90814158405103e-16,9.90700740986496e-17,1.2e-05,Rozwiazano przez dokladne bloki 2x2,"Theta blisko pi/4 od dolu, klasyczny GS powinien zbiegac wolno."
Przypadek rozbiezny klasycznego GS,Classical Gauss-Seidel,20,40,2.42551882081476,0,34,12088251887668.3,1668805811642.93,12088251887668.3,1668805811642.93,0.000111,Wykryto rozbieznosc residualu,"Theta powyzej pi/4, max |s/c|^2 > 1, klasyczny GS powinien zawiesc."
Przypadek rozbiezny klasycznego GS,Block Gauss-Seidel 2x2,20,40,2.42551882081476,1,1,5.13290576956341e-16,7.0860725425496e-17,5.87239128128131e-16,8.10694614036028e-17,1.3e-05,Rozwiazano przez dokladne bloki 2x2,"Theta powyzej pi/4, max |s/c|^2 > 1, klasyczny GS powinien zawiesc."
Prawie osobliwe C,Classical Gauss-Seidel,20,40,9.99999999908474e+15,0,1,4.29175651526304e+16,6.45196062135756e+15,4.29175651526304e+16,6.45196062135756e+15,4.9e-05,Wykryto rozbieznosc residualu,"c_i bardzo male, det(C) formalnie niezerowy, ale klasyczny GS jest niestabilny."
Prawie osobliwe C,Block Gauss-Seidel 2x2,20,40,9.99999999908474e+15,1,1,1.07972845826449e-15,1.62319681223915e-16,1.07972845826449e-15,1.62319681223915e-16,1.1e-05,Rozwiazano przez dokladne bloki 2x2,"c_i bardzo male, det(C) formalnie niezerowy, ale klasyczny GS jest niestabilny."
